"py [deg]","re(Mode(1)) [] - px='0deg'","re(Mode(1)) [] - px='15deg'","re(Mode(1)) [] - px='30deg'","re(Mode(1)) [] - px='45deg'","re(Mode(1)) [] - px='60deg'","re(Mode(1)) [] - px='75deg'","re(Mode(1)) [] - px='90deg'","re(Mode(1)) [] - px='105deg'","re(Mode(1)) [] - px='120deg'","re(Mode(1)) [] - px='135deg'","re(Mode(1)) [] - px='150deg'","re(Mode(1)) [] - px='165deg'","re(Mode(1)) [] - px='180deg'","re(Mode(2)) [] - px='0deg'","re(Mode(2)) [] - px='15deg'","re(Mode(2)) [] - px='30deg'","re(Mode(2)) [] - px='45deg'","re(Mode(2)) [] - px='60deg'","re(Mode(2)) [] - px='75deg'","re(Mode(2)) [] - px='90deg'","re(Mode(2)) [] - px='105deg'","re(Mode(2)) [] - px='120deg'","re(Mode(2)) [] - px='135deg'","re(Mode(2)) [] - px='150deg'","re(Mode(2)) [] - px='165deg'","re(Mode(2)) [] - px='180deg'","re(Mode(3)) [] - px='0deg'","re(Mode(3)) [] - px='15deg'","re(Mode(3)) [] - px='30deg'","re(Mode(3)) [] - px='45deg'","re(Mode(3)) [] - px='60deg'","re(Mode(3)) [] - px='75deg'","re(Mode(3)) [] - px='90deg'","re(Mode(3)) [] - px='105deg'","re(Mode(3)) [] - px='120deg'","re(Mode(3)) [] - px='135deg'","re(Mode(3)) [] - px='150deg'","re(Mode(3)) [] - px='165deg'","re(Mode(3)) [] - px='180deg'","re(Mode(4)) [] - px='0deg'","re(Mode(4)) [] - px='15deg'","re(Mode(4)) [] - px='30deg'","re(Mode(4)) [] - px='45deg'","re(Mode(4)) [] - px='60deg'","re(Mode(4)) [] - px='75deg'","re(Mode(4)) [] - px='90deg'","re(Mode(4)) [] - px='105deg'","re(Mode(4)) [] - px='120deg'","re(Mode(4)) [] - px='135deg'","re(Mode(4)) [] - px='150deg'","re(Mode(4)) [] - px='165deg'","re(Mode(4)) [] - px='180deg'"
0,64939060164.1133,65088694011.9353,65464431745.1012,40557549218.0505,40881459561.1667,43199073017.8489,45825462610.2983,48775048729.1198,41622450446.2752,44496525876.1898,46412731047.75,47497269102.7387,48316060944.1068,65005272579.5464,65219086090.1194,65922822648.5648,66077808588.7304,43665841069.8438,47352243841.8093,51482238473.0275,55941592787.6063,52123045233.9063,55842653376.1301,59595892240.0284,62661523029.4385,64305127814.5956,75978730626.9177,75978763204.9364,75980619379.2162,67071713496.7711,66926816254.7566,68001766963.1711,69280867857.2658,70715033785.0077,60630957991.0793,65447390118.8762,70203850319.8534,74296949119.8811,75365570025.8632,76053158310.6074,76053039789.4142,76054641176.7263,75991981563.1233,68608171114.1586,70443028587.122,72441906204.8791,74456041347.8209,72215466031.7958,73680434095.2394,75102758266.4935,75920290895.4317,76132235979.5933
15,,65202363460.2719,,,,,,,,,,,48427587073.1098,,65467441579.884,,,,,,,,,,,64516832818.7451,,75969733233.8461,,,,,,,,,,,75349867715.0047,,76062588675.3624,,,,,,,,,,,75988633387.8377
30,,,40079541801.2081,,,,,,,,,,48751909415.5123,,,65991707658.6527,,,,,,,,,,65139903574.7421,,,66813854863.4184,,,,,,,,,,75306302740.9897,,,75945677220.9873,,,,,,,,,,75689358290.4209
45,,,,41491287477.1525,,,,,,,,,49259657866.9803,,,,44464669371.9014,,,,,,,,,66136811593.1456,,,,67302464126.0745,,,,,,,,,75246852579.8964,,,,68916520980.5225,,,,,,,,,75459622258.7949
60,,,,,45074240394.7679,,,,,,,,49906271583.6169,,,,,49932896700.1329,,,,,,,,67439363904.7491,,,,,69123665262.5365,,,,,,,,75195744013.0419,,,,,71497748025.9254,,,,,,,,75317833429.9467
75,,,,,,49343179042.0843,,,,,,,50637694777.6141,,,,,,56130762193.0764,,,,,,,68939684996.8034,,,,,,71402838750.9802,,,,,,,75194725254.8657,,,,,,74046069068.7586,,,,,,,75232514694.7406
90,,,,,,,43788172390.2353,,,,,,51396766792.7784,,,,,,,54477400050.5929,,,,,,70490310567.9173,,,,,,,62765903904.518,,,,,,75178802025.7629,,,,,,,74021659166.7636,,,,,,75298545556.2633
105,,,,,,,,47614197339.0687,,,,,52129127844.3418,,,,,,,,60404745582.7184,,,,,71936913377.8873,,,,,,,,69452132119.7358,,,,,75142801959.5038,,,,,,,,76624744037.1074,,,,,75538720963.9313
120,,,,,,,,,50127910201.4756,,,,52787644627.7232,,,,,,,,,66393712813.5245,,,,73158672452.3938,,,,,,,,,74277146610.2535,,,,75117559430.787,,,,,,,,,76129783143.9816,,,,75884860219.5566
135,,,,,,,,,,51742363979.9005,,,53334828085.4215,,,,,,,,,,71141923623.1447,,,74078560202.9787,,,,,,,,,,75056876549.337,,,75099764999.3594,,,,,,,,,,75810622023.0096,,,76258415831.5557
150,,,,,,,,,,,52731426263.5907,,53743329597.8212,,,,,,,,,,,73687616897.5233,,74676229042.3976,,,,,,,,,,,75065581176.0041,,75087791367.7481,,,,,,,,,,,76288564748.2478,,76575040523.0228
165,,,,,,,,,,,,53262889298.3393,53995112196.6085,,,,,,,,,,,,74711838254.3253,74993087334.8899,,,,,,,,,,,,75001853170.1374,75080840186.8051,,,,,,,,,,,,76727548243.3275,76778652239.1637
180,,,,,,,,,,,,,54080110709.1453,,,,,,,,,,,,,75078577295.7516,,,,,,,,,,,,,75089783182.8661,,,,,,,,,,,,,76837544941.1971
